path_id,point_id,base_date_time_gt,longitude_gt,latitude_gt,longitude_pred,latitude_pred,sog_gt,sog_pred,heading_gt,heading_pred,haversine_dist_km,consolidated_rmse
100000001,147,05-01-25 03:04,-79.71435,26.75065,,,12.3,,17,,1000.0,
100000001,148,05-01-25 03:05,-79.71371,26.7545,,,12.3,,17,,1000.0,
100000001,149,05-01-25 03:06,-79.71302,26.75843,,,12.2,,17,,1000.0,
100000001,150,05-01-25 03:08,-79.71233,26.76241,,,12.3,,17,,1000.0,
100000001,151,05-01-25 03:09,-79.71178,26.7663,,,12.3,,17,,1000.0,
100000001,152,05-01-25 03:10,-79.71118,26.77021,,,12.2,,17,,1000.0,
100000001,153,05-01-25 03:11,-79.71055,26.77426,,,12.2,,17,,1000.0,
100000001,154,05-01-25 03:12,-79.70995,26.77817,,,12.2,,17,,1000.0,
100000001,155,05-01-25 03:13,-79.70938,26.78201,,,12.2,,17,,1000.0,
100000001,156,05-01-25 03:15,-79.70882,26.78598,,,12.2,,17,,1000.0,
100000001,157,05-01-25 03:16,-79.70837,26.78931,,,12.2,,17,,1000.0,
100000001,158,05-01-25 03:17,-79.70781,26.79324,,,12.1,,17,,1000.0,
100000001,159,05-01-25 03:18,-79.70718,26.79773,,,12.1,,17,,1000.0,
100000001,160,05-01-25 03:19,-79.70661,26.80163,,,12.1,,17,,1000.0,
100000001,161,05-01-25 03:20,-79.70617,26.8054,,,12.0,,17,,1000.0,
100000001,162,05-01-25 03:22,-79.7057,26.80939,,,12.0,,17,,1000.0,
100000001,163,05-01-25 03:23,-79.70525,26.81321,,,12.0,,17,,1000.0,
100000001,164,05-01-25 03:24,-79.70472,26.81765,,,12.0,,17,,1000.0,
100000001,165,05-01-25 03:25,-79.7043,26.82147,,,12.0,,17,,1000.0,
100000001,166,05-01-25 03:27,-79.70377,26.82641,,,12.0,,18,,1000.0,
100000001,167,05-01-25 03:28,-79.70325,26.83044,,,12.0,,19,,1000.0,
100000001,168,05-01-25 03:29,-79.70277,26.83427,,,12.0,,19,,1000.0,
100000001,169,05-01-25 03:30,-79.70225,26.83821,,,12.0,,21,,1000.0,
100000001,170,05-01-25 03:31,-79.70161,26.842,,,11.9,,22,,1000.0,
100000001,171,05-01-25 03:33,-79.70085,26.84583,,,11.9,,22,,1000.0,
100000001,172,05-01-25 03:34,-79.70018,26.84953,,,11.8,,23,,1000.0,
100000001,173,05-01-25 03:35,-79.69942,26.85333,,,11.9,,23,,1000.0,
100000001,174,05-01-25 03:36,-79.69863,26.85713,,,11.9,,23,,1000.0,
100000001,175,05-01-25 03:37,-79.69785,26.86089,,,11.8,,23,,1000.0,
100000001,176,05-01-25 03:38,-79.69707,26.86465,,,11.8,,23,,1000.0,
100000001,177,05-01-25 03:39,-79.69637,26.86804,,,11.8,,23,,1000.0,
100000001,178,05-01-25 03:41,-79.69554,26.87178,,,11.9,,23,,1000.0,
100000001,179,05-01-25 03:42,-79.6946,26.87607,,,11.9,,23,,1000.0,
100000001,180,05-01-25 03:43,-79.69376,26.87996,,,12.0,,22,,1000.0,
