ID,X,Y,WKT,Name,Description,Date Created,Date Updated
81,-79.39586753,26.7995049059391,"POLYGON((-79.3962398776785 26.7986513813958, -79.395495178178 26.7986513813958, -79.395495178178 26.8003584304824, -79.3962398776785 26.8003584304824, -79.3962398776785 26.7986513813958))",vessel_28,ship_unverified_________visual,01/21/2026 15:16:00,01/21/2026 17:07:18
82,-79.39589164,26.799528838601,"LINESTRING(-79.3957683909684 26.800344097428, -79.3960148841143 26.7987135797739)",vessel_28_length,,01/21/2026 15:16:12,01/21/2026 15:20:13
83,-79.39591309,26.7997822770849,"LINESTRING(-79.3960738088936 26.7997989989817, -79.3957523768768 26.7997655551881)",vessel_28_width,,01/21/2026 15:16:31,01/21/2026 15:20:17
84,-79.27968852,26.9008638430387,"POLYGON((-79.280102411285 26.9006792828441, -79.2792746331543 26.9006792828441, -79.2792746331543 26.9010484032333, -79.280102411285 26.9010484032333, -79.280102411285 26.9006792828441))",vessel_29,ship_unverified_________visual,01/21/2026 15:20:37,01/21/2026 17:08:08
85,-79.27969078,26.9008856965229,"LINESTRING(-79.279337185435 26.9008437590674, -79.2800443712622 26.9009276339784)",vessel_29_length,,01/21/2026 15:21:45,01/21/2026 17:07:54
86,-79.27970781,26.9008776452392,"LINESTRING(-79.2796923266724 26.9009621394798, -79.279723293148 26.9007931509987)",vessel_29_width,,01/21/2026 15:21:57,01/21/2026 17:07:48
87,-79.92247425,26.6843527043238,"POLYGON((-79.9225944047794 26.6842697141692, -79.9223541049287 26.6842697141692, -79.9223541049287 26.6844356944785, -79.9225944047794 26.6844356944785, -79.9225944047794 26.6842697141692))",vessel_31,ship_unverified_________visual,01/21/2026 15:27:44,01/21/2026 17:09:31
88,-79.92246713,26.684349165298,"POLYGON((-79.9223722424358 26.6843166947365, -79.9225620226935 26.6843816358596, -79.9223722424358 26.6843166947365))",vessel_31_length,,01/21/2026 15:28:12,01/21/2026 17:08:52
89,-79.92249443,26.6843599593267,"LINESTRING(-79.922457090579 26.6844122484326, -79.922531764023 26.6843076702207)",vessel_31_width,,01/21/2026 15:28:37,01/21/2026 17:09:02
90,-79.76186433,26.784479485359,"POLYGON((-79.7619636869058 26.7843965394422, -79.7617649706081 26.7843965394422, -79.7617649706081 26.7845624312758, -79.7619636869058 26.7845624312758, -79.7619636869058 26.7843965394422))",vessel_32,ship_unverified_________visual,01/21/2026 15:29:40,01/21/2026 17:10:19
91,-79.76185407,26.7844843072817,"LINESTRING(-79.761932278052 26.7844096338376, -79.7617758531123 26.7845589807257)",vessel_32_length,,01/21/2026 15:30:13,01/21/2026 17:09:58
92,-79.76190202,26.7844659928232,"LINESTRING(-79.7618555696681 26.7844228167087, -79.7619484690949 26.7845091689378)",vessel_32_width,,01/21/2026 15:30:20,01/21/2026 17:10:07
93,-79.99323155,26.812138077803,"POLYGON((-79.9933394417167 26.8120037717745, -79.9931236496195 26.8120037717745, -79.9931236496195 26.8122723838314, -79.9933394417167 26.8122723838314, -79.9933394417167 26.8120037717745))",vessel_33,ship_unverified_________visual,01/21/2026 15:32:52,01/21/2026 17:11:04
94,-79.99324203,26.8121448019519,"LINESTRING(-79.9932326516137 26.8120324378833, -79.9932514084503 26.8122571660206)",vessel_33_length,,01/21/2026 15:33:18,01/21/2026 17:10:41
95,-79.99325141,26.8121646647342,"POLYGON((-79.993316703476 26.8121583387256, -79.9931861134246 26.8121709907427, -79.993316703476 26.8121583387256))",vessel_33_width,,01/21/2026 15:33:24,01/21/2026 17:10:52
96,-79.57958061,26.730279084295,"POLYGON((-79.5796592673287 26.7302198940888, -79.5795019576326 26.7302198940888, -79.5795019576326 26.7303382745013, -79.5796592673287 26.7303382745013, -79.5796592673287 26.7302198940888))",vessel_30,ship_unverified_________visual,01/21/2026 15:38:39,01/21/2026 17:12:33
97,-79.57958566,26.7302839504555,"LINESTRING(-79.5796460844576 26.7302372353151, -79.5795252267271 26.7303306655958)",vessel_30_length,,01/21/2026 15:38:57,01/21/2026 17:11:27
98,-79.57960583,26.7302718292922,"LINESTRING(-79.5795864518732 26.7302490025759, -79.5796252042055 26.7302946560085)",vessel_30_width,,01/21/2026 15:39:04,01/21/2026 17:11:36
99,-79.92383183,26.9289135863073,"POLYGON((-79.9239018978551 26.9288555020466, -79.9237617524341 26.9288555020466, -79.9237617524341 26.928971670568, -79.9239018978551 26.928971670568, -79.9239018978551 26.9288555020466))",vessel_37,ship_unverified_________visual,01/21/2026 15:44:09,01/21/2026 17:13:16
100,-79.92382864,26.9289213279262,"POLYGON((-79.9238763283938 26.9288845220581, -79.923780951649 26.9289581337944, -79.9238763283938 26.9288845220581))",vessel_37_length,,01/21/2026 15:44:25,01/21/2026 17:13:12
101,-79.92385514,26.9289067294449,"LINESTRING(-79.9238276667893 26.9288748782128, -79.9238826101646 26.9289385806769)",vessel_37_width,,01/21/2026 15:44:48,01/21/2026 17:12:57
102,-79.85892914,26.8702856870368,"POLYGON((-79.8590174876153 26.8702098634094, -79.8588408017531 26.8702098634094, -79.8588408017531 26.8703615106642, -79.8590174876153 26.8703615106642, -79.8590174876153 26.8702098634094))",vessel_34,ship_unverified_________visual,01/21/2026 15:46:46,01/21/2026 15:48:47
103,-79.85892525,26.8702878546901,"LINESTRING(-79.8588630091399 26.87022366561, -79.8589874943718 26.8703520437703)",vessel_34_length,,01/21/2026 15:46:54,01/21/2026 15:48:22
104,-79.85891269,26.8702675495297,"LINESTRING(-79.8589564394206 26.8702354328707, -79.8588689370081 26.8702996661887)",vessel_34_width,,01/21/2026 15:47:27,01/21/2026 15:48:29
105,-79.89806683,26.9161663693376,"POLYGON((-79.8981860978529 26.9160995259881, -79.8979475675151 26.9160995259881, -79.8979475675151 26.9162332126871, -79.8981860978529 26.9162332126871, -79.8981860978529 26.9160995259881))",vessel_35,ship_unverified_________visual,01/21/2026 15:48:59,01/21/2026 17:14:42
106,-79.89806573,26.9161723856814,"POLYGON((-79.8979608388618 26.9161304039881, -79.8981706146151 26.9162143673748, -79.8979608388618 26.9161304039881))",vessel_35_length,,01/21/2026 15:49:10,01/21/2026 17:13:58
107,-79.89804246,26.9161485414952,"LINESTRING(-79.898070814088 26.9160995259881, -79.8980141011998 26.9161975570023)",vessel_35_width,,01/21/2026 15:49:55,01/21/2026 17:14:36
108,-79.89920958,26.9165244745091,"POLYGON((-79.8994371434674 26.9163846829906, -79.8989820247516 26.9163846829906, -79.8989820247516 26.9166642660275, -79.8994371434674 26.9166642660275, -79.8994371434674 26.9163846829906))",vessel_36,ship_unverified_________visual,01/21/2026 15:53:08,01/21/2026 16:07:57
109,-79.89922153,26.9165106280707,"LINESTRING(-79.8990050284192 26.9164255587384, -79.8994380282238 26.916595697403)",vessel_36_length,,01/21/2026 15:54:29,01/21/2026 16:07:32
110,-79.89916296,26.9164920924231,"LINESTRING(-79.899109872058 26.9165641115978, -79.8992160428315 26.9164200732484)",vessel_36_width,,01/21/2026 15:55:50,01/21/2026 16:07:42
111,-79.95166272,26.7819740320556,"POLYGON((-79.9517947295681 26.7819217871875, -79.9515307182446 26.7819217871875, -79.9515307182446 26.7820262769237, -79.9517947295681 26.7820262769237, -79.9517947295681 26.7819217871875))",vessel_38,ship_unverified_________visual,01/21/2026 16:08:53,01/21/2026 17:14:56
112,-79.95166029,26.7819604510441,"LINESTRING(-79.9517805734649 26.7819643439725, -79.9515400081873 26.7819565581158)",vessel_38_length,,01/21/2026 16:09:30,01/21/2026 16:10:34
113,-79.95168321,26.7819727491587,"LINESTRING(-79.9516798881814 26.7820182256401, -79.9516865238547 26.7819272726774)",vessel_38_width,,01/21/2026 16:09:44,01/21/2026 16:10:39
114,-79.97960311,26.901468175929,"POLYGON((-79.9796830490232 26.9014004478231, -79.9795231735334 26.9014004478231, -79.9795231735334 26.901535904035, -79.9796830490232 26.901535904035, -79.9796830490232 26.9014004478231))",vessel_41,ship_unverified_________visual,01/21/2026 16:15:44,01/21/2026 16:17:32
115,-79.97959581,26.9014752539806,"LINESTRING(-79.9796548252925 26.9014230975881, -79.9795367987826 26.9015274103731)",vessel_41_length,,01/21/2026 16:16:17,01/21/2026 16:17:16
116,-79.97962474,26.9014463224448,"LINESTRING(-79.9795912113041 26.901416904293, -79.9796582758427 26.9014757405967)",vessel_41_width,,01/21/2026 16:16:23,01/21/2026 16:17:25
117,-79.9803901,26.8972815526649,"POLYGON((-79.9804726056755 26.8971813097596, -79.9803075985983 26.8971813097596, -79.9803075985983 26.8973817955703, -79.9804726056755 26.8973817955703, -79.9804726056755 26.8971813097596))",vessel_42,ship_unverified_________visual,01/21/2026 16:17:49,01/21/2026 16:19:04
118,-79.98039015,26.8972712452523,"LINESTRING(-79.980447567068 26.8972708471119, -79.9803327256814 26.8972716433927)",vessel_42_length,,01/21/2026 16:17:59,01/21/2026 16:18:46
